First Name,Last Name,Nation,Season,Age,Matches Played,Starts,Minutes Played,90s,Goals,Shots,Shots on Target,Shots on Target Percentage,Shots per 90,Shots on Target per 90,Goals per Shot,Goals per Shot on Target,Average Shot Distance,Penalty Kick Goals,Expected Goals,Non-Penalty Expected Goals,Non-Penalty Expected Goals per Shot,Goals - Expected Goals,Non-Penalty Goals - Expected Non-Penalty Goals
Alvaro,Morata,Spain,2017/18,24,31,24,"2,061",22.9,11,79,34,43.0%,3.45,1.48,0.14,0.32,13.6,0,13.0,13.0,0.16,-2.0,-2.0
Olivier,Giroud,France,2017/18,30,13,6,613,6.8,3,30,8,26.7%,4.40,1.17,0.10,0.38,11.5,0,3.6,3.6,0.12,-0.6,-0.6
Michy,Batshuayi,Belgium,2017/18,23,12,3,360,4.0,2,13,5,38.5%,3.25,1.25,0.15,0.40,18.0,0,1.1,1.1,0.28,0.9,-1.6
Gonzalo,Higuain,Argentina,2018/19,30,14,13,"1,085",12.1,5,46,14,30.4%,3.82,1.16,0.11,0.36,15.1,0,4.9,4.9,0.11,0.1,0.1
Alvaro,Morata,Spain,2018/19,25,16,11,941,10.5,5,35,16,45.7%,3.35,1.53,0.14,0.31,13.7,0,6.1,6.1,0.17,-1.1,-1.1
Olivier,Giroud,France,2018/19,31,27,7,847,9.4,2,32,10,31.3%,3.40,1.06,0.06,0.20,11.4,0,4.6,4.6,0.14,-2.6,-2.6
Tammy,Abraham,England,2019/20,21,34,25,"2,215",24.6,15,88,35,39.8%,3.58,1.42,0.17,0.43,11.6,0,16.4,16.4,0.19,-1.4,-1.4
Olivier,Giroud,France,2019/20,32,18,12,993,11.0,8,39,19,48.7%,3.53,1.72,0.21,0.42,11.5,0,7.3,7.3,0.19,0.7,0.7
Michy,Batshuayi,Belgium,2019/20,25,16,1,239,2.7,1,15,2,13.3%,5.65,0.75,0.07,0.50,13.8,0,2.4,2.4,0.16,-1.4,-1.4
Tammy,Abraham,England,2020/21,22,22,12,"1,040",11.6,6,32,13,40.6%,2.77,1.13,0.19,0.46,10.7,0,5.9,5.9,0.18,0.1,0.1
Olivier,Giroud,France,2020/21,33,17,8,748,8.3,4,29,10,34.5%,3.49,1.20,0.14,0.40,11.6,0,4.2,4.2,0.14,-0.2,-0.2
Timo,Werner,Germany,2020/21,24,35,29,"2,602",28.9,6,79,31,39.2%,2.73,1.07,0.08,0.19,13.8,0,11.4,11.4,0.14,-5.4,-5.4
Kai,Havertz,Germany,2020/21,21,27,18,"1,520",16.9,4,33,16,48.5%,1.95,0.95,0.12,0.25,13.1,0,5.5,5.5,0.17,-1.5,-1.5
Romelu,Lukaku,Belgium,2021/22,28,26,16,"1,589",17.7,8,42,14,33.3%,2.38,0.79,0.19,0.57,13.8,1,6.6,5.8,0.14,1.4,1.2
Kai,Havertz,Germany,2021/22,22,29,22,"1,809",20.1,8,56,23,41.1%,2.79,1.14,0.14,0.35,13.0,0,8.7,8.7,0.16,-0.7,-0.7
Timo,Werner,Germany,2021/22,25,21,15,"1,283",14.3,4,45,16,35.6%,3.16,1.12,0.09,0.25,13.3,0,6.8,6.8,0.15,-2.8,-2.8
Pierre-Emerick,Aubameyang,Gabon,2022/23,33,15,5,554,6.2,1,16,7,43.8%,2.60,1.14,0.06,0.14,13.7,0,1.5,1.5,0.09,-0.5,-0.5
Armando,Broja,Albania,2022/23,20,12,2,294,3.3,1,6,5,83.3%,1.84,1.53,0.17,0.20,11.0,0,0.8,0.8,0.13,0.2,0.2
Kai,Havertz,Germany,2022/23,23,35,30,"2,569",28.5,7,70,31,44.3%,2.45,1.09,0.10,0.23,12.7,1,11.0,10.8,0.15,-4.0,-4.8
Joao,Felix,Portugal,2022/23,22,16,11,941,10.5,4,46,16,34.8%,4.40,1.53,0.09,0.25,18.0,0,4.9,4.9,0.11,-0.9,-0.9
